1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Tự tìm hiểu, Bạn bè",Táo,Thảo mộc,Trà xanh,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Tạp hoá",Sản phẩm không có nguồn gốc rõ ràng
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Nhân viên tiếp thị, Gia đình; người thân","Đào, Cam, Chanh","Dưa leo, Nha đam, Rau má","Lavender, Hoa hồng, Trà xanh",Nhật Bản,"Website của hãng, Sàn thương mại điện tử","Siêu thị, Các cửa hàng mỹ phẩm","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Sau khi về nhà",Siêu thị; trung tâm thương mại,Tự tìm hiểu,,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Cam, Chanh","Thảo mộc, Nha đam, Rau má","Lavender, Trà xanh","Mỹ, Việt Nam","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Đào, Chanh","Thảo mộc, Rau má","Lavender, Hoa cúc","Hàn Quốc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội",Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Cherry, Việt quất, Đào","Dưa leo, Nha đam, Rau má","Hoa hồng, Anh đào","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Nhật Bản,Sàn thương mại điện tử,Siêu thị,Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi thức dậy,"Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên","Cherry, Việt quất, Chanh","Dưa leo, Nha đam, Cần tây","Lavender, Hoa hồng, Anh đào","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Nhà thuốc",Không có hiệu quả hoặc hiệu quả kém
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Đào,"Dưa leo, Nha đam, Rau má","Anh đào, Trà xanh","Nhật Bản, Hàn Quốc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ","Cherry, Đào","Nha đam, Rau má","Hoa hồng, Anh đào",Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Không có hiệu quả hoặc hiệu quả kém
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ",Cửa hàng của hãng,"Nhân viên tiếp thị, Gia đình; người thân, Bạn bè","Đào, Cam",Nha đam,Lavender,"Hàn Quốc, Việt Nam",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,Đức,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Đào,"Dưa leo, Thảo mộc, Nha đam","Lavender, Hoa hồng, Anh đào","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Bạn bè",,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà",Các cửa hàng mỹ phẩm,"Gia đình; người thân, Bạn bè",Khác,"Thảo mộc, Nha đam","Lavender, Trà xanh","Mỹ, Hàn Quốc",Website của hãng,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,"Gia đình; người thân, Tự tìm hiểu","Táo, Việt quất","Nha đam, Rau má","Hoa hồng, Anh đào, Trà xanh",Pháp,Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,Truyền thông; quảng cáo,"Dâu, Táo, Đào","Nha đam, Rau má","Anh đào, Trà xanh","Mỹ, Pháp",Sàn thương mại điện tử,Nhà thuốc,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên","Dâu, Táo, Đào",Thảo mộc,Anh đào,"Mỹ, Úc, Anh","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Nhà thuốc","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ",Website của hãng,Tự tìm hiểu,Việt quất,Nha đam,Lavender,Hàn Quốc,Website của hãng,Cửa hàng chính hãng,Không có hiệu quả hoặc hiệu quả kém
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Tự tìm hiểu","Dâu, Việt quất, Đào",Nha đam,Lavender,"Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại",Tự tìm hiểu,,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",Đào,Nha đam,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Táo,Nha đam,"Hoa hồng, Trà xanh","Mỹ, Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc, Đức",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi về nhà,Cửa hàng tiện lợi,"Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Chanh,Nha đam,Trà xanh,"Mỹ, Nhật Bản, Việt Nam",Sàn thương mại điện tử,Cửa hàng tiện lợi,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Hàn Quốc,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Táo, Chanh","Dưa leo, Nha đam",Trà xanh,"Mỹ, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Gia đình; người thân",Đào,"Nha đam, Rau má",Lavender,Hàn Quốc,"Website của hãng, Sàn thương mại điện tử",Siêu thị,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Đào,Nha đam,Trà xanh,"Hàn Quốc, Anh",Sàn thương mại điện tử,Cửa hàng tiện lợi,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Tư vấn từ bác sĩ,,,,Đức,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Tác dụng phụ; gây kích ứng; bong tróc da
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",,,,Pháp,"Website của hãng, Sàn thương mại điện tử",Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,Bạn bè,Táo,Thảo mộc,Anh đào,Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi ra đường, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Hàn Quốc, Pháp, Anh",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Tư vấn từ bác sĩ",,,,"Mỹ, Hàn Quốc",Website của hãng,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng","Truyền thông; quảng cáo, Chuyên viên, Bạn bè",,,,Khác,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Nhà thuốc","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Canada, Hàn Quốc, Anh","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Nhà thuốc, Cửa hàng tiện lợi","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Hàng xách tay, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè",Chanh,Nha đam,"Lavender, Hoa hồng",Hàn Quốc,Website của hãng,Các cửa hàng mỹ phẩm,"Sản phẩm không có nguồn gốc rõ ràng, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại",Truyền thông; quảng cáo,,,,"Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè",,,,"Nhật Bản, Việt Nam","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau,Trước khi đi ngủ,Siêu thị; trung tâm thương mại,Tự tìm hiểu,Mâm xôi,Dưa leo,Lavender,Trung Quốc,Các trang mạng xã hội,Nhà thuốc,Không có hiệu quả hoặc hiệu quả kém
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Chuyên viên, Bạn bè",Đào,Dưa leo,Trà xanh,"Mỹ, Hàn Quốc","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
